time,wx,wy,wz
2020-12-08 8:56:58.3590,-3.85,0.69,-0.61
2020-12-08 8:56:58.3620,-3.5,1.81,-0.71
2020-12-08 8:56:58.3790,-3.1,2.27,-0.83
2020-12-08 8:56:58.3830,-2.61,1.99,-0.96
2020-12-08 8:56:58.3990,-2.04,1.15,-1.04
2020-12-08 8:56:58.4030,-1.35,0.18,-1.07
2020-12-08 8:56:58.4230,0.08,-1.16,-0.96
2020-12-08 8:56:58.4230,0.08,-1.16,-0.96
2020-12-08 8:56:58.4390,0.76,-1.16,-0.69
2020-12-08 8:56:58.4450,1.28,-0.91,-0.45
2020-12-08 8:56:58.4590,1.59,-0.69,-0.36
2020-12-08 8:56:58.4640,1.72,-0.66,-0.38
2020-12-08 8:56:58.4790,1.65,-0.77,-0.44
2020-12-08 8:56:58.4840,1.4,-0.96,-0.54
2020-12-08 8:56:58.4990,1.12,-1.07,-0.69
2020-12-08 8:56:58.5040,0.86,-0.94,-0.86
2020-12-08 8:56:58.5270,0.56,0.05,-1.13
2020-12-08 8:56:58.5280,0.56,0.05,-1.13
2020-12-08 8:56:58.5380,0.59,0.72,-1.12
2020-12-08 8:56:58.5410,0.59,0.72,-1.12
2020-12-08 8:56:58.5700,0.77,0.19,-0.9
2020-12-08 8:56:58.5710,0.77,0.19,-0.9
2020-12-08 8:56:58.5790,0.9,-0.15,-0.86
2020-12-08 8:56:58.5820,1.05,-0.17,-0.89
2020-12-08 8:56:58.5990,1.18,0.09,-0.89
2020-12-08 8:56:58.6020,1.09,0.23,-0.8
2020-12-08 8:56:58.6250,0.38,-0.5,-0.56
2020-12-08 8:56:58.6250,0.38,-0.5,-0.56
2020-12-08 8:56:58.6390,0.34,-0.95,-0.51
2020-12-08 8:56:58.6440,0.65,-1.11,-0.47
2020-12-08 8:56:58.6590,1.26,-0.81,-0.36
2020-12-08 8:56:58.6620,1.78,-0.47,-0.23
2020-12-08 8:56:58.6790,1.9,-0.39,-0.09
2020-12-08 8:56:58.6820,1.56,-0.67,0.06
2020-12-08 8:56:58.6980,0.83,-1.26,0.14
2020-12-08 8:56:58.7020,0.03,-1.82,0.14
2020-12-08 8:56:58.7220,-0.99,-1.78,-0.04
2020-12-08 8:56:58.7230,-0.99,-1.78,-0.04
2020-12-08 8:56:58.7390,-1.3,-1.42,-0.06
2020-12-08 8:56:58.7430,-1.52,-1.09,-0.05
2020-12-08 8:56:58.7590,-1.65,-0.92,-0.05
2020-12-08 8:56:58.7620,-1.82,-1.15,-0.11
2020-12-08 8:56:58.7790,-2.07,-1.64,-0.38
2020-12-08 8:56:58.7820,-2.14,-1.9,-0.68
2020-12-08 8:56:58.7990,-1.92,-1.59,-0.82
2020-12-08 8:56:58.8030,-1.42,-0.78,-0.81
2020-12-08 8:56:58.8280,-0.03,0.74,-0.63
2020-12-08 8:56:58.8280,-0.03,0.74,-0.63
2020-12-08 8:56:58.8390,0.66,0.72,-0.58
2020-12-08 8:56:58.8430,1.22,0.23,-0.57
2020-12-08 8:56:58.8590,1.59,-0.42,-0.6
2020-12-08 8:56:58.8630,1.71,-1.06,-0.66
2020-12-08 8:56:58.8790,1.6,-1.45,-0.7
2020-12-08 8:56:58.8840,1.25,-1.51,-0.73
2020-12-08 8:56:58.8990,0.73,-1.42,-0.83
2020-12-08 8:56:58.9040,0.24,-1.22,-1.0
2020-12-08 8:56:58.9280,-0.4,-1.11,-1.56
2020-12-08 8:56:58.9290,-0.4,-1.11,-1.56
2020-12-08 8:56:58.9390,-0.54,-1.16,-1.86
2020-12-08 8:56:58.9430,-0.58,-1.13,-2.02
2020-12-08 8:56:58.9590,-0.57,-1.12,-2.04
2020-12-08 8:56:58.9630,-0.53,-1.32,-1.96
2020-12-08 8:56:58.9790,-0.47,-1.57,-1.83
2020-12-08 8:56:58.9820,-0.33,-1.63,-1.59
2020-12-08 8:56:58.9990,-0.09,-1.53,-1.3
2020-12-08 8:56:59.0020,0.14,-1.54,-0.95
2020-12-08 8:56:59.0220,0.24,-1.8,-0.21
2020-12-08 8:56:59.0220,0.24,-1.8,-0.21
2020-12-08 8:56:59.0390,-0.02,-1.83,-0.0
2020-12-08 8:56:59.0440,-0.38,-1.84,0.09
2020-12-08 8:56:59.0590,-0.55,-1.66,0.17
2020-12-08 8:56:59.0630,-0.43,-1.33,0.28
2020-12-08 8:56:59.0790,-0.1,-1.0,0.38
2020-12-08 8:56:59.0830,0.19,-0.63,0.53
2020-12-08 8:56:59.0990,0.43,-0.53,0.68
2020-12-08 8:56:59.1040,0.57,-0.69,0.7
2020-12-08 8:56:59.1280,0.47,-0.9,0.52
2020-12-08 8:56:59.1290,0.47,-0.9,0.52
2020-12-08 8:56:59.1390,0.42,-0.7,0.43
2020-12-08 8:56:59.1440,0.41,-0.48,0.4
2020-12-08 8:56:59.1590,0.32,-0.37,0.46
2020-12-08 8:56:59.1640,0.05,-0.4,0.56
2020-12-08 8:56:59.1790,-0.38,-0.43,0.61
